300 1800
233 60 2
44 230 1
161 224 93
35 228 8
151 13 93
76 281 73
231 298 79
128 98 55
298 265 5
102 289 65
135 73 3
96 131 41
256 150 17
87 247 64
294 292 29
225 156 71
12 186 7
127 114 50
279 204 44
179 180 67
147 258 11
50 3 62
67 182 24
48 40 15
93 184 0
274 43 8
225 135 59
229 115 50
229 66 15
192 227 70
296 135 37
291 150 18
254 281 34
40 159 48
129 132 27
85 181 86
156 17 69
173 135 69
156 255 59
54 270 84
216 0 59
35 186 69
154 59 44
229 22 94
248 210 28
142 88 90
165 110 92
276 74 69
10 39 42
47 263 39
44 293 62
119 111 90
275 223 7
95 115 50
226 257 41
149 111 82
144 288 10
281 0 11
166 74 39
152 100 58
167 298 54
102 269 14
180 152 89
259 31 -4
216 128 32
48 243 35
47 229 64
36 161 -3
271 288 8
290 215 61
147 123 49
190 102 -5
214 28 8
79 97 11
203 136 57
240 100 64
226 85 45
166 174 -5
109 218 35
12 207 72
40 180 39
30 266 53
157 245 60
91 68 44
286 172 -5
100 55 9
196 215 -2
114 39 72
96 251 84
261 181 23
57 276 21
263 10 64
157 96 52
255 23 11
174 161 31
177 63 41
160 195 42
292 55 8
14 267 46
130 210 54
169 192 61
86 166 78
163 232 28
134 169 20
39 10 79
142 187 51
196 16 23
186 210 45
8 112 51
99 278 56
81 227 3
180 215 82
268 143 44
235 133 85
290 288 30
210 248 90
59 186 49
205 112 67
65 58 71
109 225 44
270 39 83
258 143 71
19 283 94
119 50 68
114 215 18
162 108 78
195 49 20
213 65 81
204 296 18
132 270 37
275 9 34
120 35 59
232 296 81
182 96 55
188 63 61
56 168 44
261 190 88
156 91 6
18 13 62
267 290 47
41 6 75
276 217 41
128 281 76
24 77 20
95 226 79
69 218 26
254 113 91
47 97 -2
271 223 27
257 186 64
45 57 75
72 112 20
211 66 41
28 264 27
31 71 30
52 34 70
207 99 59
156 94 4
37 220 31
52 163 81
1 0 78
100 92 89
194 104 4
78 197 13
55 228 48
297 113 54
278 89 51
191 219 27
167 68 43
173 262 87
292 252 18
75 62 92
6 103 41
117 221 37
288 91 56
180 294 8
229 2 91
130 117 16
98 56 13
249 177 90
25 174 61
20 241 87
212 84 82
175 53 12
257 113 20
27 11 59
7 273 25
110 140 14
106 264 57
293 164 74
198 145 64
89 106 84
126 271 17
61 30 9
294 43 24
260 186 89
187 37 50
209 237 89
234 240 22
128 281 48
284 211 44
157 31 66
263 124 15
261 5 -2
166 243 69
284 75 85
28 123 14
45 266 -2
282 283 32
193 65 16
194 114 78
261 155 80
41 135 21
59 245 49
259 111 9
200 172 57
269 16 62
279 81 0
21 213 59
104 151 92
71 123 77
244 205 51
64 58 24
140 85 36
33 125 8
259 8 87
207 71 76
76 290 30
1 127 41
124 126 33
66 140 61
179 101 29
197 236 39
150 144 94
66 110 18
95 69 1
15 139 93
114 218 8
176 20 29
52 2 32
92 8 21
58 230 92
55 157 62
159 51 23
242 225 13
293 167 43
270 8 -4
236 232 77
279 186 48
220 214 80
126 280 78
47 222 31
239 107 0
170 30 56
282 255 49
34 147 32
213 106 -4
47 118 19
235 259 74
181 116 -5
11 37 64
53 203 3
269 183 20
137 27 86
208 102 57
20 288 42
5 236 26
252 134 12
282 294 88
236 238 60
158 278 6
53 251 75
155 67 72
265 228 87
238 202 93
25 51 76
240 222 23
147 126 80
193 37 92
210 250 37
17 278 18
68 212 79
253 180 82
176 272 27
